,title,studio,domestic_gross,foreign_gross,year
2496,The Darkness,BH Tilt,10800000.0,,2016
2497,Our Kind of Traitor,RAtt.,3200000.0,7600000,2016
2498,The Perfect Match,LGF,9700000.0,745000,2016
2499,Queen of Katwe,BV,8900000.0,1500000,2016
2500,Miss Sloane,EC,3500000.0,5600000,2016
2501,Ratchet & Clank,Focus,8800000.0,,2016
2502,Morgan,Fox,3900000.0,4900000,2016
2503,The Lobster (US Release),A24,8700000.0,,2016
2504,My King (Mon roi),FM,54100.0,7900000,2016
2505,Pele: Birth of a Legend,IFC,57000.0,7800000,2016
2506,A Bigger Splash,FoxS,2000000.0,5500000,2016
2507,Southside with You,RAtt.,6300000.0,208000,2016
2508,The Young Messiah,Focus,6500000.0,,2016
2509,Incarnate,BH Tilt,4800000.0,1500000,2016
2510,Max Steel,ORF,3800000.0,2500000,2016
2511,Midnight Special,WB,3700000.0,2500000,2016
2512,The Duelist,Sony,13500.0,6100000,2016
2513,The Autopsy of Jane Doe,IFC,10500.0,6000000,2016
2514,My Best Friend's Wedding (2016),Sony,78600.0,5600000,2016
2515,Genius,RAtt.,1400000.0,4300000,2016
2516,20th Century Women,A24,5700000.0,,2016
2517,Hunt for the Wilderpeople,Orch.,5200000.0,,2016
2518,Bleed for This,ORF,5100000.0,,2016
2519,Hands of Stone,Wein.,4700000.0,,2016
2520,Men & Chicken,Drft.,30200.0,4600000,2016
2521,The Meddler,SPC,4300000.0,,2016
2522,A Hologram for the King,RAtt.,4200000.0,,2016
2523,Swiss Army Man,A24,4200000.0,,2016
2524,Denial,BST,4099999.0,,2016
2525,Indignation,RAtt.,3400000.0,523000,2016
2526,Kabali,CineGalaxy,3900000.0,,2016
2527,Rules Don't Apply,Fox,3700000.0,233000,2016
2528,Where to Invade Next,Drft.,3800000.0,,2016
2529,Batman: The Killing Joke,Fathom,3800000.0,,2016
2530,Naam Hai Akira,FIP,219000.0,3500000,2016
2531,A Man Called Ove,MBox,3500000.0,,2016
2532,Miles Ahead,SPC,2600000.0,850000,2016
2533,Everybody Wants Some!!,Par.,3400000.0,,2016
2534,Maggie's Plan,SPC,3400000.0,,2016
2535,The Program (2016),EOne,13100.0,3300000,2016
2536,Green Room,A24,3200000.0,,2016
2537,The Eagle Huntress,SPC,3200000.0,,2016
2538,Compadres,PNT,3100000.0,,2016
2539,Desierto,STX,2000000.0,1000000,2016
2540,Anthropoid,BST,3000000.0,,2016
2541,Hillsong - Let Hope Rise,PFR,2400000.0,255000,2016
2542,El Jeremias,Sony,650000.0,1900000,2016
2543,The Disappointments Room,Rela.,2400000.0,,2016
2544,Dear Zindagi,Relbig.,2400000.0,,2016
2545,Elle,SPC,2300000.0,,2016
2546,Paterson,BST,2200000.0,,2016
2547,Equals,A24,33300.0,2100000,2016
2548,I'm Not Ashamed,PFR,2100000.0,,2016
2549,The Dressmaker,BG,2000000.0,,2016
2550,The Handmaiden,Magn.,2000000.0,,2016
2551,Demolition,FoxS,2000000.0,,2016
2552,American Honey,A24,663000.0,1200000,2016
2553,Busco Novio Para Mi Mujer,PNT,1700000.0,,2016
2554,A Perfect Day,IFC,14000.0,1700000,2016
2555,Weiner,IFC,1700000.0,,2016
2556,Rustom,Zee,1100000.0,571000,2016
2557,I Saw the Light,SPC,1600000.0,,2016
2558,Jane Got a Gun,Wein.,1500000.0,,2016
2559,Toni Erdmann,SPC,1500000.0,,2016
2560,The Neon Demon,BG,1300000.0,,2016
2561,Embrace of the Serpent,Osci.,1300000.0,,2016
2562,Housefull 3,Eros,1300000.0,,2016
2563,Mohenjo Daro,UTV,1300000.0,,2016
2564,Lazer Team,Ampl.,1200000.0,,2016
2565,The Music of Strangers,Orch.,1200000.0,,2016
2566,Dough,Men.,1100000.0,,2016
2567,Ma ma,Osci.,47300.0,1100000,2016
2568,Wazir,Relbig.,1100000.0,,2016
2569,Papa: Hemingway in Cuba,YFG,1100000.0,,2016
2570,Certain Women,IFC,1100000.0,,2016
2571,The Innocents,MBox,1100000.0,,2016
2572,Elvis & Nixon,BST,1100000.0,,2016
2573,Operation Chromite,CJ,1000000.0,,2016
2574,Baar Baar Dekho,Eros,982000.0,,2016
2575,Dark Horse (2016),SPC,941000.0,,2016
2576,Neruda,Orch.,939000.0,,2016
2577,Gentleman,Gaatri,898000.0,,2016
2578,Ki & Ka,Eros,858000.0,,2016
2579,Dishoom,Eros,813000.0,,2016
2580,The Wailing (Goksung),WGUSA,787000.0,,2016
2581,Chongqing Hot Pot,CL,780000.0,,2016
2582,The Polar Express (2016 re-issue),WB,765000.0,,2016
2583,Little Men (2016),Magn.,703000.0,,2016
2584,Chaar Sahibzaade: Rise of Band Singh Bahadur,Eros,701000.0,,2016
2585,Born to be Blue (US Release),IFC,678000.0,,2016
2586,City of Gold,IFC,641000.0,,2016
2587,Remember (US Release),A24,638000.0,,2016
2588,Embrace: The Documentary,Gathr,629000.0,,2016
2589,Tickled,Magn.,614000.0,,2016
2590,"Lo and Behold, Reveries of the Connected World",Magn.,595000.0,,2016
2591,A Tale of Love and Darkness,FCW,572000.0,,2016
2592,Tunnel,WGUSA,569000.0,,2016
2593,Knight of Cups,BG,566000.0,,2016
2594,Harry & Snowman,FR,561000.0,,2016
2595,Viral,W/Dim.,,552000,2016
2596,American Pastoral,LGF,544000.0,,2016
2597,The Age of Shadows,CJ,542000.0,,2016
2598,Fitoor,UTV,529000.0,,2016
2599,The First Monday in May,Magn.,527000.0,,2016
2600,Marguerite,Cohen,497000.0,,2016
2601,The Boy and the Beast,FUN,491000.0,,2016
2602,Wiener-Dog,IFC,477000.0,,2016
2603,Our Little Sister,SPC,468000.0,,2016
2604,Only Yesterday (2016 re-release),GK,453000.0,,2016
2605,Baaghi,UTV,438000.0,,2016
2606,Land of Mine,SPC,435000.0,,2016
2607,Things To Come,IFC,388000.0,,2016
2608,The Lobster (Canada Release),Mon,377000.0,,2016
2609,Mr. Donkey,CL,356000.0,,2016
2610,Happy Bhaag Jayegi,Eros,352000.0,,2016
2611,High-Rise,Magn.,346000.0,,2016
2612,Te3n,Rel.,332000.0,,2016
2613,Francofonia,MBox,307000.0,,2016
2614,Mia Madre,MBox,303000.0,,2016
2615,April and the Extraordinary World,GK,295000.0,,2016
2616,Ixcanul,KL,295000.0,,2016
2617,The People vs. Fritz Bauer,Cohen,288000.0,,2016
2618,Aquarius,Vita.,286000.0,,2016
2619,Kingsglaive: Final Fantasy: XV,VE,270000.0,,2016
2620,My Golden Days,Magn.,269000.0,,2016
2621,The Family Fang,SM,263000.0,,2016
2622,Dheepan,IFC,262000.0,,2016
2623,"Life, Animated",Orch.,255000.0,,2016
2624,Oasis: Supersonic,A24,243000.0,,2016
2625,The Invitation,Drft.,232000.0,,2016
2626,Miss Hokusai,GK,223000.0,,2016
2627,Kaptaan,UTV,204000.0,,2016
2628,League of Gods,Sony,182000.0,,2016
2629,Viva,Magn.,178000.0,,2016
2630,The Wave,Magn.,177000.0,,2016
2631,Asura: The City of Madness,CJ,176000.0,,2016
2632,Louder than Bombs,Orch.,164000.0,,2016
2633,Howards End (2016 Restoration),Cohen,160000.0,,2016
2634,Sunset Song,Magn.,160000.0,,2016
2635,Born to be Blue,EOne,152000.0,,2016
2636,Seasons,MBox,150000.0,,2016
2637,Rams (Hrútar),Cohen,149000.0,,2016
2638,Tumbledown,SM,135000.0,,2016
2639,The Brand New Testament,MBox,128000.0,,2016
2640,Spirits' Homecoming,PM&E,126000.0,,2016
2641,Sweet Bean,KL,125000.0,,2016
2642,A War,Magn.,123000.0,,2016
2643,Fire at Sea,KL,121000.0,,2016
2644,Hockney,FM,121000.0,,2016
2645,Three,WGUSA,120000.0,,2016
2646,Tale of Tales,IFC,119000.0,,2016
2647,The Measure of a Man,KL,112000.0,,2016
2648,Aferim!,BWP,108000.0,,2016
2649,Until Forever (Por Siempre),CZ,105000.0,,2016
2650,Under the Sun (2016),Icar.,105000.0,,2016
2651,Our Last Tango,Strand,100000.0,,2016
2652,Rock On 2,Eros,98900.0,,2016
2653,Seondal: The Man Who Sells the River,CJ,97500.0,,2016
2654,So Young 2: Never Gone,CL,96400.0,,2016
2655,"New York, New York (2016)",CL,92400.0,,2016
2656,Fireworks Wednesday,Ghop,90500.0,,2016
2657,No One's Life Is Easy: So I Married an Anti-Fan,CL,89300.0,,2016
2658,"My Love, Don't Cross that River",FM,88000.0,,2016
2659,Author: The JT LeRoy Story,Magn.,86000.0,,2016
2660,Mountains May Depart,KL,82900.0,,2016
2661,Cock and Bull,CL,82800.0,,2016
2662,A Street Cat Named Bob,Cleopatra,82700.0,,2016
2663,Les cowboys,Cohen,80800.0,,2016
2664,Saala Khadoos,UTV,76900.0,,2016
2665,The Monster (2016),A24,12500.0,62200,2016
2666,Dancer,IFC,71900.0,,2016
2667,Sweet 20,CJ,71800.0,,2016
2668,The Dark Horse,BG,67500.0,,2016
2669,Phantom Detective,CJ,67100.0,,2016
2670,Ran (2016 re-issue),Rialto,66100.0,,2016
2671,Microbe & Gasoline,Scre.,63800.0,,2016
2672,Time Renegades,CJ,59400.0,,2016
2673,Vanishing Time: A Boy Who Returned,Dreamwest,57800.0,,2016
2674,DONGJU: The Portrait of a Poet,CJ,56600.0,,2016
2675,L'attesa,Osci.,55800.0,,2016
2676,The Lovers and the Despot,Magn.,55500.0,,2016
2677,Clown,W/Dim.,55000.0,,2016
2678,Diary of a Chambermaid,Cohen,54200.0,,2016
2679,High Strung (2016),Pala.,53400.0,,2016
2680,The Club,MBox,52800.0,,2016
2681,Being 17,Strand,52700.0,,2016
2682,The Last Man on the Moon,Grav.,52500.0,,2016
2683,My Annoying Brother,CJ,52000.0,,2016
2684,Cemetery of Splendor,Strand,52000.0,,2016
2685,Disorder,IFC,51900.0,,2016
2686,Like for Likes,CJ,50800.0,,2016
2687,In the Shadow of Women,Distrib.,50300.0,,2016
2688,In Order of Disappearance,Magn.,50300.0,,2016
2689,The Treasure,SDS,50200.0,,2016
2690,Fatima,KL,50100.0,,2016
2691,We Are X,Drft.,45300.0,,2016
2692,A Melody to Remember,CJ,44300.0,,2016
2693,Phantom of the Theatre,WGUSA,44000.0,,2016
2694,Mastizaade,Eros,43400.0,,2016
2695,Closet Monster,Strand,42200.0,,2016
2696,Troublemakers: The Story of Land Art,FRun,29500.0,9100,2016
2697,Come What May,Cohen,37800.0,,2016
2698,Until Forever,Linn,35800.0,,2016
2699,Summertime (2016),Strand,35300.0,,2016
2700,Songs My Brothers Taught Me,KL,34800.0,,2016
2701,Mr. Right,FCW,34700.0,,2016
2702,Phantom Boy,GK,34400.0,,2016
2703,Sweet Sixteen (Xia You Qiao Mu),CL,34300.0,,2016
2704,Eisenstein in Guanajuato,Strand,34300.0,,2016
2705,Last Cab to Darwin,FRun,34200.0,,2016
2706,The Map Against the World,CJ,34000.0,,2016
2707,Kaili Blues,Ghop,32200.0,,2016
2708,Anesthesia,IFC,32200.0,,2016
2709,"Rio, I Love You",Scre.,32000.0,,2016
2710,As I Open My Eyes,KL,31000.0,,2016
2711,The Son of Joseph,KL,30600.0,,2016
2712,From Afar,Strand,30200.0,,2016
2713,For a Few Bullets,CL,30100.0,,2016
2714,The Last Princess,CJ,29300.0,,2016
2715,Valley of Love,Strand,28600.0,,2016
2716,Blackway,Electric,27100.0,,2016
2717,Neon Bull,KL,26700.0,,2016
2718,Papa (Luo shan ji dao dan ji hua),Jampa,26700.0,,2016
2719,Standing Tall (La tete haute),Cohen,26100.0,,2016
2720,Chevalier,Strand,25700.0,,2016
2721,The New Year's Eve of Old Lee,CL,25400.0,,2016
2722,Cosmos,KL,25300.0,,2016
2723,A Monster with a Thousand Heads,MBox,24900.0,,2016
2724,Evolution,IFC,24800.0,,2016
2725,"Right Now, Wrong Then",Ghop,24500.0,,2016
2726,Lolo,FR,24100.0,,2016
2727,Sanam Teri Kasam,Eros,22100.0,,2016
2728,Term Life,FCW,21300.0,,2016
2729,The Sea of Trees,A24,20400.0,,2016
2730,Wildflower (Secretos del Alma),CZ,18100.0,,2016
2731,Colonia,Scre.,15700.0,,2016
2732,Argentina,FRun,14900.0,,2016
2733,Remember You,CJ,14800.0,,2016
2734,Adderall Diaries,A24,13200.0,,2016
2735,Neither Heaven Nor Earth,FM,12800.0,,2016
2736,The Ones Below,Magn.,12500.0,,2016
2737,"Kiki, Love to Love",Strand,12500.0,,2016
2738,Don't Call Me Son,Zeit.,11700.0,,2016
2739,Jeruzalem,EpicPics,11300.0,,2016
2740,Serial Killer 1,KL,10300.0,,2016
2741,Chronic,MR,9000.0,,2016
2742,Magnus,FR,8900.0,,2016
2743,The Last King,Magn.,8900.0,,2016
2744,Mojave,A24,8300.0,,2016
2745,The Other Side,FM,8100.0,,2016
2746,The President,Crnth,7600.0,,2016
2747,They Will Have to Kill Us First,BBC,7500.0,,2016
2748,The Carer,Crnth,6200.0,,2016
2749,Klown Forever,Drft.,5700.0,,2016
2750,Search Party,FCW,4600.0,,2016
2751,In Harmony,Distrib.,3100.0,,2016
2752,In Her Name (Au nom de ma fille),Distrib.,1600.0,,2016
2753,Next Time I'll Aim for the Heart,Distrib.,800.0,,2016
2754,The Student and Mr. Henri,Distrib.,800.0,,2016
2755,Down By Love,Distrib.,700.0,,2016
2756,News From Planet Mars,KL,300.0,,2016
2757,Satanic,Magn.,300.0,,2016
2758,Star Wars: The Last Jedi,BV,620200000.0,712400000,2017
2759,Beauty and the Beast (2017),BV,504000000.0,759500000,2017
2760,The Fate of the Furious,Uni.,226000000.0,"1,010.0",2017
2761,Despicable Me 3,Uni.,264600000.0,770200000,2017
2762,Jumanji: Welcome to the Jungle,Sony,404500000.0,557600000,2017
2763,Spider-Man: Homecoming,Sony,334200000.0,546000000,2017
2764,Wolf Warrior 2,HC,2700000.0,867600000,2017
2765,Guardians of the Galaxy Vol. 2,BV,389800000.0,473900000,2017
2766,Thor: Ragnarok,BV,315100000.0,538900000,2017
2767,Wonder Woman,WB,412600000.0,409300000,2017
2768,Coco,BV,209700000.0,597400000,2017
2769,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172600000.0,622300000,2017
2770,It,WB (NL),327500000.0,372900000,2017
2771,Justice League,WB,229000000.0,428900000,2017
2772,Logan (2017),Fox,226300000.0,392700000,2017
2773,Transformers: The Last Knight,Par.,130199999.0,475300000,2017
2774,Kong: Skull Island,WB,168100000.0,398600000,2017
2775,The Boss Baby,Fox,175000000.0,353000000,2017
2776,Dunkirk,WB,188000000.0,337200000,2017
2777,War for the Planet of the Apes,Fox,146900000.0,343800000,2017
2778,The Greatest Showman,Fox,174300000.0,260700000,2017
2779,Kingsman: The Golden Circle,Fox,100200000.0,310700000,2017
2780,The Mummy (2017),Uni.,80200000.0,329000000,2017
2781,Cars 3,BV,152900000.0,231000000,2017
2782,Fifty Shades Darker,Uni.,114600000.0,267000000,2017
2783,Your Name.,FUN,5000000.0,353000000,2017
2784,Murder on the Orient Express (2017),Fox,102800000.0,250000000,2017
2785,xXx: The Return of Xander Cage,Par.,44900000.0,301200000,2017
2786,The Great Wall,Uni.,45500000.0,289400000,2017
2787,Resident Evil: The Final Chapter,SGem,26800000.0,285400000,2017
2788,The LEGO Batman Movie,WB,175800000.0,136200000,2017
2789,Annabelle: Creation,WB (NL),102100000.0,204400000,2017
2790,Wonder,LGF,132400000.0,173500000,2017
2791,Ferdinand,Fox,84400000.0,211700000,2017
2792,Split,Uni.,138300000.0,140200000,2017
2793,Blade Runner 2049,WB,92100000.0,167200000,2017
2794,Get Out,Uni.,176000000.0,79400000,2017
2795,Kung Fu Yoga,WGUSA,363000.0,253800000,2017
2796,Baahubali 2: The Conclusion,GrtIndia,20200000.0,234000000,2017
2797,Journey to the West: The Demons Strike Back,Sony,880000.0,245700000,2017
2798,Alien: Covenant,Fox,74300000.0,166600000,2017
2799,Baby Driver,TriS,107800000.0,119100000,2017
2800,Valerian and the City of a Thousand Planets,STX,41200000.0,184700000,2017
2801,Geostorm,WB,33700000.0,187900000,2017
2802,The Emoji Movie,Sony,86100000.0,131699999,2017
2803,A Dog's Purpose,Uni.,64500000.0,140500000,2017
2804,Smurfs: The Lost Village,Sony,45000000.0,152200000,2017
2805,The Shape of Water,FoxS,63900000.0,131400000,2017
2806,Pitch Perfect 3,Uni.,104900000.0,80500000,2017
2807,Daddy's Home 2,Par.,104000000.0,76600000,2017
2808,The Post,Fox,81900000.0,97900000,2017
2809,Baywatch,Par.,58100000.0,119800000,2017
2810,The Hitman's Bodyguard,LG/S,75500000.0,101100000,2017
2811,John Wick: Chapter Two,LG/S,92000000.0,79500000,2017
2812,Ghost in the Shell (2017),Par.,40600000.0,129199999,2017
2813,"Three Billboards Outside Ebbing, Missouri",FoxS,54500000.0,104700000,2017
2814,Duckweed,CL,472000.0,150600000,2017
2815,Darkest Hour,Focus,56500000.0,94400000,2017
2816,King Arthur: Legend of the Sword,WB,39200000.0,109500000,2017
2817,The Foreigner,STX,34400000.0,111000000,2017
2818,Power Rangers (2017),LGF,85400000.0,57000000,2017
2819,Girls Trip,Uni.,115200000.0,25400000,2017
2820,American Made,Uni.,51300000.0,83500000,2017
2821,A Bad Moms Christmas,STX,72100000.0,58400000,2017
2822,Captain Underpants: The First Epic Movie,Fox,73900000.0,51600000,2017
2823,Happy Death Day,Uni.,55700000.0,69800000,2017
2824,The LEGO Ninjago Movie,WB,59300000.0,63800000,2017
2825,Secret Superstar,,,122000000,2017
2826,The Dark Tower,Sony,50700000.0,62500000,2017
2827,Buddies in India,CL,293000.0,109300000,2017
2828,Leap!,Wein.,21900000.0,81400000,2017
2829,Jigsaw,LGF,38100000.0,64900000,2017
2830,Railroad Tigers,WGUSA,218000.0,102000000,2017
2831,Life (2017),Sony,30200000.0,70300000,2017
2832,Atomic Blonde,Focus,51700000.0,48300000,2017
2833,The Shack,LG/S,57400000.0,39600000,2017
2834,Some Like It Hot (Qing Shung),CL,100000.0,95600000,2017
2835,Tiger Zinda Hai,Yash,5600000.0,81800000,2017
2836,Going in Style (2017),WB (NL),45000000.0,39900000,2017
2837,Rings,Par.,27800000.0,55300000,2017
2838,A Taxi Driver,WGUSA,1500000.0,80100000,2017
2839,Underworld: Blood Wars,SGem,30400000.0,50700000,2017
2840,Lady Bird,A24,49000000.0,30000000,2017
2841,American Assassin,LGF,36200000.0,31000000,2017
2842,One Piece Film: Gold,FUN,424000.0,65800000,2017
2843,Victoria and Abdul,Focus,22200000.0,43200000,2017
2844,The Nut Job 2: Nutty by Nature,ORF,28400000.0,36800000,2017
2845,Monster Trucks,Par.,33400000.0,31100000,2017
2846,The Mountain Between Us,Fox,30300000.0,32500000,2017
2847,The Star,Sony,40900000.0,22000000,2017
2848,How to be a Latin Lover,PNT,32100000.0,29700000,2017
2849,"Everything, Everything",WB,34100000.0,27500000,2017
2850,Snatched,Fox,45900000.0,15000000,2017
2851,My Little Pony: The Movie,LGF,21900000.0,38400000,2017
2852,Molly's Game,STX,28800000.0,30500000,2017
2853,All the Money in the World,TriS,25100000.0,31900000,2017
2854,The Big Sick,LGF,42900000.0,13500000,2017
2855,Confidential Assignment,CJ,476000.0,55500000,2017
2856,Downsizing,Par.,24400000.0,30600000,2017
2857,"I, Tonya",Neon,30000000.0,23900000,2017
2858,Logan Lucky,BST,27800000.0,20700000,2017
2859,Tyler Perry's Boo 2! A Madea Halloween,LGF,47300000.0,1000000,2017
2860,Phantom Thread,Focus,21200000.0,26600000,2017
2861,Rough Night,Sony,22100000.0,25200000,2017
2862,The Battleship Island,CJ,1100000.0,45000000,2017
2863,Flatliners (2017),Sony,16900000.0,28300000,2017
2864,All Eyez on Me,LG/S,44900000.0,,2017
2865,mother!,Par.,17800000.0,26700000,2017
2866,47 Meters Down,ENTMP,44300000.0,,2017
2867,The Snowman,Uni.,6700000.0,36400000,2017
2868,Gifted,FoxS,24800000.0,18200000,2017
2869,Loving Vincent,Good Deed,6700000.0,35500000,2017
2870,Call Me by Your Name,SPC,18100000.0,23800000,2017
2871,T2: Trainspotting,TriS,2400000.0,39300000,2017
2872,Fist Fight,WB (NL),32200000.0,8900000,2017
2873,Diary of a Wimpy Kid: The Long Haul,Fox,20700000.0,19400000,2017
2874,The House,WB (NL),25600000.0,8600000,2017
2875,Tad the Lost Explorer and the Secret of King Midas,ParC,5900.0,34200000,2017
2876,Wind River,Wein.,33800000.0,,2017
2877,Sleepless,ORF,20800000.0,12100000,2017
2878,Kidnap (2017),Aviron,31000000.0,,2017
2879,The Disaster Artist,A24,21100000.0,8700000,2017
2880,Hostiles,ENTMP,29800000.0,,2017
2881,The Beguiled (2017),Focus,10700000.0,16700000,2017
2882,Home Again,ORF,27000000.0,,2017
2883,Judwaa 2,FIP,1400000.0,25500000,2017
2884,CHiPs,WB,18600000.0,8199999,2017
2885,The Bye Bye Man,STX,22400000.0,4300000,2017
2886,A Cure for Wellness,Fox,8100000.0,18500000,2017
2887,The Zookeeper's Wife,Focus,17600000.0,8600000,2017
2888,Only The Brave,Sony,18300000.0,7400000,2017
2889,Father Figures,WB,17500000.0,8100000,2017
2890,Badrinath Ki Dulhania,FIP,2000000.0,23200000,2017
2891,Born in China,BV,13900000.0,11200000,2017
2892,The Founder,Wein.,12800000.0,11300000,2017
2893,Jolly Llb 2,FIP,1700000.0,21300000,2017
2894,The Glass Castle,LGF,17300000.0,4600000,2017
2895,Sword Art Online: The Movie - Ordinal Scale,Elev.,1500000.0,19200000,2017
2896,The Circle (2017),STX,20500000.0,,2017
2897,It Comes At Night,A24,14000000.0,5300000,2017
2898,The Lost City of Z,BST,8600000.0,10700000,2017
2899,Unforgettable (2017),WB,11400000.0,6400000,2017
2900,The Case for Christ,PFR,14700000.0,3000000,2017
2901,Detroit,Annapurna,16800000.0,,2017
2902,Wonder Wheel,Amazon,1400000.0,14500000,2017
2903,Gold,Wein.,7200000.0,7700000,2017
2904,The Space Between Us,STX,7900000.0,6900000,2017
2905,Wish Upon,BG,14300000.0,,2017
2906,A United Kingdom,FoxS,3900000.0,9900000,2017
2907,"Roman J. Israel, Esq.",Sony,12000000.0,1100000,2017
2908,Mubarakan,Sony,759000.0,12100000,2017
2909,Battle of the Sexes,FoxS,12600000.0,,2017
2910,The Promise (2017),ORF,8199999.0,4200000,2017
2911,Before I Fall,ORF,12200000.0,,2017
2912,Earth: One Amazing Day,BBC,81300.0,11600000,2017
2913,Thank You for Your Service (2017),Uni.,9500000.0,,2017
2914,Rock Dog,LG/S,9400000.0,,2017
2915,My Cousin Rachel,FoxS,2700000.0,6500000,2017
2916,Truman,FR,211000.0,8800000,2017
2917,Stronger,RAtt.,4200000.0,4200000,2017
2918,Tulip Fever,Wein.,2500000.0,5900000,2017
2919,Viceroy's House,IFC,1100000.0,6700000,2017
2920,Amityville: The Awakening,W/Dim.,700.0,7700000,2017
2921,Just Getting Started,BG,6100000.0,1600000,2017
2922,Beatriz At Dinner,RAtt.,7100000.0,310000,2017
2923,I am Not Your Negro,Magn.,7100000.0,,2017
2924,The Red Turtle,SPC,922000.0,5700000,2017
2925,From the Land of the Moon,IFC,47700.0,6500000,2017
2926,Maudie,SPC,6200000.0,,2017
2927,All Saints,Affirm,5800000.0,140000,2017
2928,The Florida Project,A24,5900000.0,,2017
2929,Suburbicon,Par.,5800000.0,,2017
2930,The Man Who Invented Christmas,BST,5700000.0,,2017
2931,Paris Can Wait,SPC,5600000.0,,2017
2932,Phillauri,FIP,468000.0,5000000,2017
2933,Ok Jaanu,FIP,356000.0,5000000,2017
2934,An Inconvenient Sequel: Truth to Power,Par.,3500000.0,1900000,2017
2935,Table 19,FoxS,3600000.0,1400000,2017
2936,Collide,ORF,2300000.0,2500000,2017
2937,The Wall,RAtt.,1800000.0,2700000,2017
2938,Mark Felt: The Man Who Brought Down the White House,SPC,769000.0,3600000,2017
2939,Terminator 2: Judgment Day 3D,Distrib.,1000000.0,2900000,2017
2940,Brad's Status,Annapurna,2100000.0,1700000,2017
2941,Friend Request,ENTMP,3800000.0,,2017
2942,Their Finest,STX,3600000.0,,2017
2943,Wonderstruck,RAtt.,1100000.0,2200000,2017
2944,The Leisure Seeker,SPC,3200000.0,,2017
2945,Raw (2017),FCW,515000.0,2600000,2017
2946,Colossal,Neon,3000000.0,,2017
2947,A Gentleman,FIP,410000.0,2500000,2017
2948,Inhumans,Imax,1500000.0,1300000,2017
2949,Kedi,Osci.,2800000.0,,2017
2950,The Only Living Boy in New York,RAtt.,624000.0,1900000,2017
2951,Hazlo Como Hombre (Do It Like An Hombre),PNT,2500000.0,,2017
2952,Poster Boys,Sony,97000.0,2400000,2017
2953,The Salesman,Cohen,2400000.0,,2017
2954,Pokemon the Movie: I Choose You!,Fathom,2400000.0,,2017
2955,Jeepers Creepers 3,Scre.,2300000.0,,2017
2956,Un Padre No Tan Padre,PNT,2200000.0,,2017
2957,Good Time,A24,2000000.0,,2017
2958,Everybody Loves Somebody,PNT,1900000.0,,2017
2959,Along with the Gods: The Two Worlds,WGUSA,1900000.0,,2017
2960,Youth (2017),CL,1900000.0,,2017
2961,Last Flag Flying,LGF,965000.0,904000,2017
2962,A Quiet Passion,MBox,1900000.0,,2017
2963,Free Fire,A24,1800000.0,,2017
2964,The Last Word,BST,1800000.0,,2017
2965,Human Flow,Magn.,528000.0,1300000,2017
2966,Jane (2017),Abr.,1700000.0,,2017
2967,A Ghost Story,A24,1600000.0,,2017
2968,The Square,Magn.,1500000.0,,2017
2969,Patti Cake$,FoxS,800000.0,682000,2017
2970,The Wedding Plan,RAtt.,1400000.0,,2017
2971,Personal Shopper,IFC,1300000.0,,2017
2972,Churchill,Cohen,1300000.0,,2017
2973,The Sense of an Ending,CBS,1300000.0,,2017
2974,3 Idiotas,PNT,1200000.0,,2017
2975,6 Below: Miracle on the Mountain,MOM,14800.0,1100000,2017
2976,Lady Macbeth,RAtt.,1100000.0,,2017
2977,Film Stars Don't Die in Liverpool,SPC,1000000.0,,2017
2978,Yu-Gi-Oh! The Dark Side of Dimensions,SV,1000000.0,,2017
2979,Lucky (2017),Magn.,956000.0,,2017
2980,Faces Places,Cohen,954000.0,,2017
2981,Tubelight,Yash,930000.0,,2017
2982,Frantz,MBox,881000.0,,2017
2983,BOMBSHELL: The Hedy Lamarr Story,Zeit.,820000.0,,2017
2984,Walk With Me,Gathr,727000.0,,2017
2985,Buena Vista Social Club: Adios,BG,123000.0,578000,2017
2986,Titanic (20th Anniversary),Par.,692000.0,,2017
2987,Lost in Paris,Osci.,692000.0,,2017
2988,Shubh Mangal Saavdhan,Eros,690000.0,,2017
2989,The Midwife,MBox,604000.0,,2017
2990,3 Generations,Wein.,156000.0,375000,2017
2991,Fairy Tail: Dragon Cry,FUN,519000.0,,2017
2992,Our President,CJ,507000.0,,2017
2993,Letters from Baghdad,Vita.,360000.0,143000,2017
2994,Breathe (2017),BST,490000.0,,2017
2995,Song to Song,BG,444000.0,,2017
2996,Tom of Finland,KL,378000.0,,2017
2997,God's Own Country,Orion,336000.0,,2017
2998,The Breadwinner,GK,312000.0,,2017
2999,A Silent Voice,Elev.,310000.0,,2017
3000,My Life as a Zucchini,GK,310000.0,,2017
3001,Happy End,SPC,302000.0,,2017
3002,After the Storm,FM,272000.0,,2017
3003,Wakefield,IFC,263000.0,,2017
3004,"I, Daniel Blake",IFC,260000.0,,2017
3005,Cezanne et moi,Magn.,258000.0,,2017
3006,The Fortress,CJ,253000.0,,2017
3007,Black Butler: Book of the Atlantic,FUN,248000.0,,2017
3008,The Swindlers,WGUSA,242000.0,,2017
3009,City of Ghosts,IFC,128000.0,100000,2017
3010,The Prison,WGUSA,207000.0,,2017
3011,The Other Side of Hope,Jan.,184000.0,,2017
3012,Marjorie Prime,FR,181000.0,,2017
3013,Graduation,IFC,176000.0,,2017
3014,Mr. Gaga: A True Story of Love and Dance,Abr.,174000.0,,2017
